Timestamp_Offset,Kinematic_Metric,Calculated_Value,Safety_Classification
5127.046,knee_flexion_depth,49.82,YELLOW
5127.125,knee_flexion_depth,47.86,YELLOW
5127.187,knee_flexion_depth,47.94,YELLOW
5127.265,knee_flexion_depth,48.27,YELLOW
5127.343,knee_flexion_depth,48.31,YELLOW
5127.406,knee_flexion_depth,48.09,YELLOW
5127.484,knee_flexion_depth,47.92,YELLOW
5127.562,knee_flexion_depth,47.2,YELLOW
5127.64,knee_flexion_depth,48.18,YELLOW
5127.718,knee_flexion_depth,49.35,YELLOW
5127.796,knee_flexion_depth,48.58,YELLOW
5127.859,knee_flexion_depth,48.42,YELLOW
5127.937,knee_flexion_depth,47.89,YELLOW
5128.015,knee_flexion_depth,47.79,YELLOW
5128.078,knee_flexion_depth,47.83,GREEN
5128.156,knee_flexion_depth,46.86,GREEN
5128.234,knee_flexion_depth,46.17,GREEN
5128.312,knee_flexion_depth,45.57,GREEN
5128.39,knee_flexion_depth,44.65,GREEN
5128.453,knee_flexion_depth,45.96,GREEN
5128.531,knee_flexion_depth,45.65,GREEN
5128.609,knee_flexion_depth,45.25,GREEN
5128.671,knee_flexion_depth,46.31,GREEN
5128.75,knee_flexion_depth,47.68,GREEN
5128.828,knee_flexion_depth,48.49,GREEN
5128.906,knee_flexion_depth,48.08,GREEN
5128.968,knee_flexion_depth,48.08,GREEN
5129.046,knee_flexion_depth,46.97,GREEN
5129.125,knee_flexion_depth,46.18,GREEN
5129.187,knee_flexion_depth,44.75,GREEN
5129.265,knee_flexion_depth,45.41,GREEN
5129.343,knee_flexion_depth,45.98,GREEN
5129.421,knee_flexion_depth,47.62,GREEN
5129.5,knee_flexion_depth,47.23,GREEN
5129.562,knee_flexion_depth,45.84,GREEN
5129.64,knee_flexion_depth,44.24,GREEN
5129.718,knee_flexion_depth,44.67,GREEN
5129.796,knee_flexion_depth,50.74,YELLOW
5129.875,knee_flexion_depth,51.13,RED
5129.953,knee_flexion_depth,52.48,RED
5130.031,knee_flexion_depth,52.92,RED
5130.109,knee_flexion_depth,49.56,RED
5130.187,knee_flexion_depth,80.4,RED
5130.265,knee_flexion_depth,159.41,RED
5130.328,knee_flexion_depth,148.57,RED
5130.406,knee_flexion_depth,148.61,RED
5130.484,knee_flexion_depth,147.57,RED
